Filesystem                      Size  Used Avail Use% Mounted on
devtmpfs                         63G     0   63G   0% /dev
/dev/sda3                       120G   64G   51G  56% /
192.168.80.1:/fac/makaroff      4.0T  604G  3.2T  16% /faculty/makaroff
192.168.80.1:/research/project  2.0T  177G  1.7T  10% /project
192.168.80.1:/staff             2.0T  659G  1.3T  35% /staff
192.168.80.1:/guests            493G  185G  283G  40% /guests
spider2:/www/docs               242G  103G  127G  45% /www/docs
192.168.80.1:/u4/Mandrake-7.1/  493G  185G  283G  40% /tmp_mnt/cs
192.168.80.1:/student           6.0T  2.3T  3.4T  41% /student
/dev/sda6                       3.8G   16M  3.6G   1% /u1
192.168.80.1:/fac/eager         4.0T  604G  3.2T  16% /faculty/eager
192.168.80.1:/fac/rad546        4.0T  604G  3.2T  16% /faculty/rad546
192.168.80.1:/fac/mih807        4.0T  604G  3.2T  16% /faculty/mih807
192.168.80.1:/fac/rad546        4.0T  604G  3.2T  16% /faculty/ralph
192.168.80.1:/fac/kas           4.0T  604G  3.2T  16% /faculty/kas
192.168.80.1:/fac/yiv905        4.0T  604G  3.2T  16% /faculty/yiv905
192.168.80.1:/fac/mould         4.0T  604G  3.2T  16% /faculty/mould
192.168.80.1:/fac/mgl641        4.0T  604G  3.2T  16% /faculty/mgl641
192.168.80.1:/fac/eager         4.0T  604G  3.2T  16% /faculty/dle792
192.168.80.1:/fac/iks677        4.0T  604G  3.2T  16% /faculty/iks677
192.168.80.1:/fac/mcquillan     4.0T  604G  3.2T  16% /faculty/mcquillan
192.168.80.1:/fac/kusalik       4.0T  604G  3.2T  16% /faculty/ajk449
192.168.80.1:/fac/ckr353        4.0T  604G  3.2T  16% /faculty/ckr353
192.168.80.1:/fac/grassman      4.0T  604G  3.2T  16% /faculty/grassman
192.168.80.1:/fac/eric          4.0T  604G  3.2T  16% /faculty/eric
192.168.80.1:/fac/yiv905        4.0T  604G  3.2T  16% /faculty/jiv
192.168.80.1:/fac/makaroff      4.0T  604G  3.2T  16% /faculty/dwm138
192.168.80.1:/fac/naj158        4.0T  604G  3.2T  16% /faculty/naj158
192.168.80.1:/fac/dot.files     4.0T  604G  3.2T  16% /faculty/dot.files
192.168.80.1:/fac/mge314        4.0T  604G  3.2T  16% /faculty/mge314
192.168.80.1:/fac/cjd032        4.0T  604G  3.2T  16% /faculty/cjd032
192.168.80.1:/fac/mge314        4.0T  604G  3.2T  16% /faculty/eramian
192.168.80.1:/fac/eric          4.0T  604G  3.2T  16% /faculty/emn075
192.168.80.1:/fac/gim554        4.0T  604G  3.2T  16% /faculty/gim554
192.168.80.1:/fac/spiteri       4.0T  604G  3.2T  16% /faculty/spiteri
192.168.80.1:/fac/naj158        4.0T  604G  3.2T  16% /faculty/jamali
192.168.80.1:/fac/kgs325        4.0T  604G  3.2T  16% /faculty/kgs325
192.168.80.1:/fac/mould         4.0T  604G  3.2T  16% /faculty/drm140
192.168.80.1:/fac/ndo885        4.0T  604G  3.2T  16% /faculty/ndo885
192.168.80.1:/fac/grassman      4.0T  604G  3.2T  16% /faculty/wkg191
192.168.80.1:/fac/kas           4.0T  604G  3.2T  16% /faculty/kes624
192.168.80.1:/fac/spiteri       4.0T  604G  3.2T  16% /faculty/rjs074
192.168.80.1:/fac/rlm412        4.0T  604G  3.2T  16% /faculty/rlm412
192.168.80.1:/fac/mih807        4.0T  604G  3.2T  16% /faculty/horsch
